,price
0,1656.0
1,1063.0
2,18508.0
3,723.0
4,3187.0
5,12401.0
6,3924.0
7,2702.0
8,1145.0
9,706.0
10,565.0
11,1890.0
12,626.0
13,2290.0
14,7487.0
15,434.0
16,5006.0
17,1153.0
18,2634.0
19,1758.0
20,2409.0
21,693.0
22,2885.0
23,9804.0
24,1207.0
25,8498.0
26,1917.0
27,5904.0
28,1814.0
29,504.0
30,2825.0
31,9301.0
32,2846.0
33,7432.0
34,665.0
35,6492.0
36,13196.0
37,625.0
38,2795.0
39,1949.0
40,9248.0
41,1964.0
42,931.0
43,6738.0
44,8347.0
45,9317.0
46,7332.0
47,6870.0
48,1171.0
49,1381.0
50,544.0
51,16499.0
52,1450.0
53,720.0
54,544.0
55,1172.0
56,2586.0
57,6088.0
58,577.0
59,612.0
60,12081.0
61,6854.0
62,1364.0
63,3882.0
64,526.0
65,544.0
66,4752.0
67,2144.0
68,11114.0
69,2814.0
70,2530.0
71,8035.0
72,6856.0
73,5116.0
74,18700.0
75,1576.0
76,8173.0
77,3283.0
78,2296.0
79,4426.0
80,7459.0
81,530.0
82,2907.0
83,505.0
84,891.0
85,3432.0
86,828.0
87,3774.0
88,3347.0
89,930.0
90,1949.0
91,3968.0
92,5690.0
93,2050.0
94,919.0
95,4504.0
96,9322.0
97,7959.0
98,4160.0
99,829.0
100,673.0
101,13378.0
102,2882.0
103,4355.0
104,1326.0
105,7123.0
106,3462.0
107,4960.0
108,2570.0
109,999.0
110,4064.0
111,4346.0
112,1370.0
113,576.0
114,1723.0
115,10071.0
116,748.0
117,974.0
118,8124.0
119,955.0
120,5113.0
121,1300.0
122,4207.0
123,7270.0
124,4158.0
125,15007.0
126,1799.0
127,2555.0
128,7056.0
129,8856.0
130,587.0
131,1097.0
132,803.0
133,487.0
134,17052.0
135,943.0
136,3830.0
137,8778.0
138,655.0
139,614.0
140,3517.0
141,8256.0
142,6261.0
143,1723.0
144,8287.0
145,557.0
146,6256.0
147,1401.0
148,14319.0
149,1617.0
150,8705.0
151,1656.0
152,5653.0
153,1013.0
154,489.0
155,3337.0
156,450.0
157,949.0
158,1087.0
159,1359.0
160,5864.0
161,2376.0
162,1827.0
163,11523.0
164,1087.0
165,1203.0
166,5176.0
167,1067.0
168,4536.0
169,14593.0
170,625.0
171,1163.0
172,6997.0
173,1786.0
174,981.0
175,710.0
176,1431.0
177,3797.0
178,2330.0
179,18236.0
180,4939.0
181,11525.0
182,2537.0
183,2294.0
184,707.0
185,3300.0
186,1821.0
187,6084.0
188,1715.0
189,3568.0
190,11922.0
191,810.0
192,7127.0
193,4346.0
194,8991.0
195,2232.0
196,14295.0
197,6350.0
198,9339.0
199,3918.0
200,10640.0
201,506.0
202,2198.0
203,1326.0
204,2441.0
205,624.0
206,3772.0
207,1970.0
208,761.0
209,1449.0
210,2905.0
211,4989.0
212,1966.0
213,637.0
214,1625.0
215,5879.0
216,3353.0
217,891.0
218,2428.0
219,630.0
220,1389.0
221,720.0
222,14759.0
223,7811.0
224,1155.0
225,635.0
226,3770.0
227,1940.0
228,6870.0
229,3352.0
230,3856.0
231,7637.0
232,4189.0
233,10644.0
234,4322.0
235,18023.0
236,684.0
237,1982.0
238,2479.0
239,872.0
240,847.0
241,10286.0
242,17591.0
243,743.0
244,10454.0
245,1813.0
246,545.0
247,1266.0
248,1230.0
249,695.0
250,814.0
251,4529.0
252,650.0
253,6077.0
254,852.0
255,1624.0
256,2513.0
257,12493.0
258,5056.0
259,551.0
260,2264.0
261,1051.0
262,5376.0
263,660.0
264,1349.0
265,7848.0
266,2118.0
267,814.0
268,10691.0
269,1656.0
270,1163.0
271,2155.0
272,656.0
273,5914.0
274,7744.0
275,2259.0
276,11217.0
277,8690.0
278,1031.0
279,1333.0
280,5747.0
281,3643.0
282,16064.0
283,583.0
284,3036.0
285,2623.0
286,811.0
287,707.0
288,1025.0
289,3579.0
290,1263.0
291,1806.0
292,790.0
293,630.0
294,1744.0
295,17024.0
296,5652.0
297,17094.0
298,2052.0
299,766.0
300,756.0
301,1035.0
302,622.0
303,14490.0
304,959.0
305,1869.0
306,2145.0
307,625.0
308,579.0
309,11688.0
310,12754.0
311,7357.0
312,9119.0
313,3931.0
314,1167.0
315,596.0
316,858.0
317,3696.0
318,14482.0
319,17265.0
320,1575.0
321,3489.0
322,802.0
323,1746.0
324,3388.0
325,6334.0
326,1151.0
327,470.0
328,911.0
329,1131.0
330,1786.0
331,2454.0
332,827.0
333,1624.0
334,18736.0
335,2054.0
